iota,IOTA,22386,0.245687,-2
binancecoin,BNB,1,326.61,-2.5
dash,DASH,35,61.92,1.4
solana,SOL,824,23.3,-4.3
oraichain-token,ORAI,433,7.85,35
status,SNT,42311,0.02968487,-3.7
dogecoin,DOGE,75993,0.092404,-3.6
chainlink,LINK,1024,6.97,-3.5
algorand,ALGO,15000,0.258984,-3.9
tether,USDT,17500,1.001,0.12
crypto-com-chain,CRO,494717,0.080717,-3.5
ripple,XRP,28161,0.398398,-3.1
omisego,OMG,2380,1.77,12
ethereum,ETH,188,1633.9,-2
chiliz,CHZ,55978,0.140063,-4.5
civic,CVC,35938,0.12131,0.35
aave,AAVE,51,86.14,-3
polkadot,DOT,15568,6.72,-1.9
matic-network,MATIC,22236,1.2,-3.5
trustswap,SWAP,22000,0.222637,-5.1
pha,PHA,144270,0.182622,3.8
bitcoin,BTC,6,22865,-2.2
cardano,ADA,54856,0.392268,-2.2
neo,NEO,2035,8.75,-0.56
ethereum-classic,ETC,438,22.68,-4.5
avalanche-2,AVAX,3490,20.05,-4.3
polkastarter,POLS,23781,0.449553,-6.5
sushi,SUSHI,0,1.43,-5.5
terra-luna,LUNA,2836,0.00018533,-3.2
polkadex,PDEX,2167,1.42,0.67
monero,XMR,61,165.76,-4.4
republic-protocol,REN,65005,0.100366,-3.6
arweave,AR,686,11.38,-4.7
